ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid
89;89-3;89D;NOM;Gare de Vaise - Porte de Lyon;Aller;10487;11147;Gare de Vaise-G.Collomb;Porte de Lyon;BUS;20300821;;REG;Régulière;True;89;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.879793+02:00;768
70;70-1;70A;NOM;Gare Part-Dieu Vivier Merle - Neuville;Aller;11064;11014;Gare Part-Dieu V.Merle;Neuville;BUS;20180101;;REG;Régulière;True;70;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.851248+02:00;545
89;89-4;89D;NOM;Porte de Lyon - Gare de Vaise;Retour;11147;10487;Porte de Lyon;Gare de Vaise-G.Collomb;BUS;20300821;;REG;Régulière;True;89;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.880423+02:00;769
90;90-1;90B;NOM;Valmy - Place Ferber - Ste Foy Chatelain.;Aller;34451;30867;Valmy - Place Ferber;Ste Foy Châtelain.;BUS;20300320;;REG;Régulière;True;90;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.881013+02:00;586
90;90-2;90B;NOM;Ste Foy Chatelain. - Valmy - Place Ferber;Retour;30867;34451;Ste Foy Châtelain.;Valmy - Place Ferber;BUS;20300320;;REG;Régulière;True;90;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.881661+02:00;585
93;93-3;93A;NOM;Hopital Feyzin Venissieux - Parc Technologique;Aller;32811;33573;Hôp. Feyzin Vénissieux;Parc Technologique;BUS;20190701;;REG;Régulière;True;93;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.882278+02:00;589
93;93-4;93A;NOM;Parc Technologique - Hopital Feyzin Venissieux;Retour;33573;32811;Parc Technologique;Hôp. Feyzin Vénissieux;BUS;20190701;;REG;Régulière;True;93;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.882871+02:00;590
64;64-1;64A;NOR;Jean Mace - St Fons Semard;Aller;10593;11785;Jean Macé;St Fons Semard;BUS;20251119;;REG;Régulière;True;64;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.841512+02:00;729
95;95-1;95A;NOM;Meyzieu Parc du Grand Large - Jonage Château des Marres;Aller;33772;10603;Meyzieu Parc Grand Large;Jonage Chât. des Marres;BUS;20180101;;REG;Régulière;True;95;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.883466+02:00;591
77;77-2;77A;NOM;Pont de Fontaines - Montessuy Gutenberg;Retour;11169;10987;Pont de Fontaines;Montessuy Gutenberg;BUS;20180101;;REG;Régulière;True;77;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.864165+02:00;562
95;95-2;95A;NOM;Jonage Château des Marres - Meyzieu Parc du Grand Large;Retour;10603;33772;Jonage Chât. des Marres;Meyzieu Parc Grand Large;BUS;20180101;;REG;Régulière;True;95;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.884034+02:00;592
97;97-1;97A;NOM;Montanay Les Dîmes - Neuville;Aller;10975;11014;Montanay Les Dîmes;Neuville;BUS;20180101;;REG;Régulière;True;97;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.885974+02:00;595
97;97-5;97A;NOM;Neuville - Montanay Les Dîmes;Retour;11014;10975;Neuville;Montanay Les Dîmes;BUS;20180101;;REG;Régulière;True;97;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.886532+02:00;596
98;98-4;98G;NOM;Ecole Veterinaire - Gorge de Loup;Retour;10393;10513;Ecole Vétérinaire;Gorge de Loup;BUS;20260824;;REG;Régulière;True;98;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.889012+02:00;885
111;111-1;111A;NOM;Parilly - Jacques Prévert;Aller;20491;20233;Parilly;Jacques Prévert;BUS;20180101;;REG;Régulière;True;111;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.891036+02:00;601
111;111-2;111A;NOM;Jacques Prévert - Parilly;Retour;20233;20491;Jacques Prévert;Parilly;BUS;20180101;;REG;Régulière;True;111;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.891660+02:00;602
78;78-2;78C;NOR;Gare de  Givors Ville - Hopital Lyon Sud;Retour;31742;10565;Gare de  Givors Ville;St-Genis-Laval Hôp. Sud;BUS;20211023;;REG;Régulière;False;78;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.866062+02:00;564
ZI8;ZI8-4;ZI8A;NOM;Parc des Lumières - St Priest Jules Ferry;Retour;34444;31140;Parc des Lumieres;St-Priest Jules Ferry;BUS;20180101;;REG;Régulière;True;Z I8;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:27.032144+02:00;678
112;112-1;112A;NOM;Parilly - Corbas Rue du Midi;Aller;20491;10284;Parilly;Corbas Rue du Midi;BUS;20180101;;REG;Régulière;True;112;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.892261+02:00;603
112;112-2;112A;NOM;Corbas Rue du Midi - Parilly;Retour;10284;20491;Corbas Rue du Midi;Parilly;BUS;20180101;;REG;Régulière;True;112;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.892865+02:00;604
114;114-1;114;NOM;Gare de Givors Ville - Hopital Lyon Sud;Aller;10565;31682;St-Genis-Laval Hôp. Sud;Gare de Givors Ville;BUS;20211023;;REG;Régulière;False;114;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.894767+02:00;837
114;114-2;114;NOM;Hopital Lyon Sud - Gare de Givors Ville;Retour;31682;10565;Gare de Givors Ville;St-Genis-Laval Hôp. Sud;BUS;20211002;;REG;Régulière;False;114;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.895390+02:00;838
ZI5;ZI5-2;ZI5B;NOM;Rond-Point d'Italie - Vaulx-en-Velin La Soie;Retour;34320;31760;Rond-Point d'Italie;Vaulx-en-Velin La Soie;BUS;20180101;;REG;Régulière;True;Z I5;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:27.030456+02:00;670
115;115-3;115A;NOM;Gare de Vaise - Lissieu - Montluzin;Aller;10487;10995;Gare de Vaise-G.Collomb;Lissieu - Montluzin;BUS;20230106;;REG;Régulière;True;115;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.896143+02:00;821
115;115-4;115A;NOM;Lissieu - Montluzin - Gare de Vaise;Retour;10995;10487;Lissieu - Montluzin;Gare de Vaise-G.Collomb;BUS;20230106;;REG;Régulière;True;115;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.901853+02:00;822
118;118-1;118A;NOM;Gare de Vaise - Lissieu Le Bois Dieu;Aller;10487;33760;Gare de Vaise-G.Collomb;Bois Dieu;BUS;20180101;;REG;Régulière;True;118;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.902511+02:00;605
118;118-2;118A;NOM;Lissieu Le Bois Dieu - Gare de Vaise;Retour;33760;10487;Bois Dieu;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;118;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.903077+02:00;606
119;119-1;119;NOM;Gare d'Oullins - Charly Chemin du repos;Aller;34269;34684;Gare d'Oullins;Charly Chemin du repos;BUS;20211023;;REG;Régulière;False;119;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.903657+02:00;839
119;119-2;119;NOM;Charly Chemin du repos - Gare d'Oullins;Retour;34684;34269;Charly Chemin du repos;Gare d'Oullins;BUS;20211023;;REG;Régulière;False;119;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.904235+02:00;840
96;96-4;96A;NOM;Neuville - Quincieux Boulodrome;Aller;11014;34292;Neuville;Quincieux Boulodrome;BUS;20180101;;REG;Régulière;True;96;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.884673+02:00;593
C10;C10-3;C10A;NOM;Bellecour A. Poncet - Brignais Parc Birabent;Aller;10075;34645;Bellecour A. Poncet;Brignais Parc Birabent;BUS;20260824;;REG;Régulière;True;C 10;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.947732+02:00;894
120;120-2;120;NOM;Gare de Givors Ville - Perrache;Retour;31682;30977;Gare de Givors Ville;Perrache;BUS;20211023;;REG;Régulière;False;120;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.905479+02:00;842
142;142-1;142A;NOM;Gorge de Loup - Ecole Veterinaire;Aller;10513;10393;Gorge de Loup;Ecole Vétérinaire;BUS;20180309;;REG;Régulière;True;142;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.906066+02:00;607
142;142-2;142A;NOM;Ecole Veterinaire - Gorge de Loup;Retour;10393;10513;Ecole Vétérinaire;Gorge de Loup;BUS;20180309;;REG;Régulière;True;142;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.906643+02:00;608
145;145-1;145;NOM;Hopital Lyon Sud - Barolles Gendarmerie;Aller;10565;12255;St-Genis-Laval Hôp. Sud;Barolles Gendarmerie;BUS;20211023;;REG;Régulière;False;145;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.907200+02:00;843
145;145-2;145;NOM;Barolles Gendarmerie - Hopital Lyon Sud;Retour;12255;10565;Barolles Gendarmerie;St-Genis-Laval Hôp. Sud;BUS;20211023;;REG;Régulière;False;145;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.907826+02:00;844
147;147-3;147;NOM;Terres Plates - Grezieu - Montolvet;Aller;32170;34197;Terres Plates;Grézieu - Montolvet;BUS;20230106;;REG;Régulière;True;147;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.908534+02:00;823
96;96-5;96A;NOM;Quincieux Boulodrome - Neuville;Retour;34292;11014;Quincieux Boulodrome;Neuville;BUS;20180101;;REG;Régulière;True;96;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.885343+02:00;594
147;147-4;147;NOM;Grezieu - Montolvet - Terres Plates;Retour;34197;32170;Grézieu - Montolvet;Terres Plates;BUS;20230106;;REG;Régulière;True;147;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.909164+02:00;824
C17;C17-5;C17A;NOM;Charpennes Ch. Hernu - Laurent Bonnevay;Aller;33460;10716;Charpennes Ch. Hernu;Laurent Bonnevay;BUS;20241103;;REG;Régulière;True;C 17;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.959944+02:00;875
15E;15E-5;15F;EXP;Bellecour Charité - Millery Place du Bouton;Aller;10077;34713;Bellecour Charité;Millery Place du Bouton;BUS;20260824;;REG;Régulière;True;15E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.910401+02:00;887
15E;15E-4;15F;EXP;Grigny Jean Moulin - Bellecour Charite;Retour;34274;10077;Grigny Jean Moulin;Bellecour Charité;BUS;20260824;;REG;Régulière;True;15E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.911681+02:00;889
89D;89D-1;89E;NOM;Gare de Vaise - Porte de Lyon;Aller;10487;11147;Gare de Vaise-G.Collomb;Porte de Lyon;BUS;20190701;;REG;Régulière;True;89D;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.916242+02:00;735
113;113-3;113;NOM;Parilly - Gare de Givors Ville;Aller;20491;31682;Parilly;Gare de Givors Ville;BUS;20211023;;REG;Régulière;False;113;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.893540+02:00;835
113;113-4;113;NOM;Gare de Givors Ville - Parilly;Retour;31682;20491;Gare de Givors Ville;Parilly;BUS;20211023;;REG;Régulière;False;113;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.894176+02:00;836
98E;98E-1;98H;NOM;Gorge de Loup - Marcy Campus Sanofi;Aller;10513;31360;Gorge de Loup;Marcy Campus Sanofi;BUS;20300320;;REG;Régulière;True;98E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.917930+02:00;623
98E;98E-2;98H;NOM;Marcy Campus Sanofi - Gorge de Loup;Retour;31360;10513;Marcy Campus Sanofi;Gorge de Loup;BUS;20300320;;REG;Régulière;True;98E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.918775+02:00;624
A32;A32-1;A32;NOR;Pont Guillotiere RD - Crepieux Les Brosses;Aller;11172;10304;Pont Guillotière RD;Crépieux Les Brosses;BUS;20290822;;REG;Régulière;False;A 32;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.919516+02:00;787
A32;A32-2;A32;NOR;Crepieux Les Brosses - Pont Guillotiere RD;Retour;10304;11172;Crépieux Les Brosses;Pont Guillotière RD;BUS;20290822;;REG;Régulière;False;A 32;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.920097+02:00;788
