FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee
tcl_sytral.tclarret.41997,41997,Tassin Deperet,"5A:A,5A:R",false,false,false,18277,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.761793988180821 45.75824971733304),79 RUE FRANCOIS MERMET,true,Tassin-la-Demi-Lune,69244
tcl_sytral.tclarret.42024,42024,Triangle de Bron,"26A:A,26A:R",true,false,false,15744,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.926521273766538 45.72681333822326),23 RUE MARYSE BASTIE,false,Bron,69029
tcl_sytral.tclarret.42035,42035,Pinel Lepine,C9A:A,true,false,false,15752,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.897070303285115 45.74968308003208),51 BOULEVARD PINEL,true,Bron,69029
tcl_sytral.tclarret.42284,42284,Lissieu Centre Mairie,"115A:A,61B:A",false,false,false,15776,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.7424489776696825 45.86571183990247),98 ROUTE NATIONALE 6,false,Lissieu,69117
tcl_sytral.tclarret.42285,42285,Lissieu Centre Mairie,"115A:R,61B:R",false,false,false,15777,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.742266987926132 45.86472490561218),76 ROUTE DEPARTEMENTALE 306,true,Lissieu,69117
tcl_sytral.tclarret.1647,1647,Les Chenes,68B:R,true,false,false,13272,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.955790587965837 45.74308922149228),3 BOULEVARD KAUFMAN,true,Chassieu,69271
tcl_sytral.tclarret.1650,1650,Les Cigales,"15C:A,18C:A",false,false,false,13273,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.824099955729386 45.68380648128677),57 ROUTE NEUVE,false,Irigny,69100
tcl_sytral.tclarret.1651,1651,Les Cigales,"15C:R,18C:R",false,false,false,13274,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.824179366630123 45.683858726103665),53 ROUTE NEUVE,true,Irigny,69100
tcl_sytral.tclarret.1671,1671,Les Essarts,24A:A,true,false,false,13287,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.89891758400966 45.732664170355406),16 RUE NEUVE DES ESSARTS,false,Bron,69029
tcl_sytral.tclarret.1672,1672,Les Essarts,24A:R,true,false,false,13288,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.899009414808454 45.73289727880754),15BIS RUE NEUVE DES ESSARTS,false,Bron,69029
tcl_sytral.tclarret.2583,2583,Reims,C17A:A,true,false,false,13696,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.910386286857523 45.73886220426867),40 AVENUE PIERRE ALLARD,false,Bron,69029
tcl_sytral.tclarret.37165,37165,Leonard De Vinci,ZI3A:R,false,false,false,15424,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.934748231145652 45.779628790008196),28 RUE PIERRE MENDES FRANCE,false,Vaulx-en-Velin,69256
tcl_sytral.tclarret.37169,37169,Vaulx-en-Velin La Soie,"323A:A,52E:A,52E:R,ZI3A:A,ZI3A:R",true,false,false,15426,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.922515264629785 45.76146999796603),AVENUE DES CANUTS,false,Vaulx-en-Velin,69256
tcl_sytral.tclarret.37170,37170,Vaulx-en-Velin La Soie,"16A:R,52D:R,52E:A,52E:R,C15A:A,C15A:R,C8A:A,C8A:R,ZI3A:R",true,false,false,15427,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.922157082436575 45.76084580240885),1 AVENUE DES CANUTS,false,Vaulx-en-Velin,69256
tcl_sytral.tclarret.37171,37171,Grosso - Roosevelt,"ZI3A:A,ZI3A:R",false,false,false,15428,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.937164177957021 45.76244796158672),49 AVENUE FRANKLIN ROOSEVELT,false,Décines-Charpieu,69275
tcl_sytral.tclarret.37173,37173,Edelweiss,ZI3A:A,false,false,false,15430,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.942620965817085 45.75683508252965),70 AVENUE DES BRUYERES,false,Décines-Charpieu,69275
tcl_sytral.tclarret.37175,37175,Z.I. Roosevelt,"ZI3A:A,ZI3A:R",false,false,false,15431,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.93426625079944 45.750623037504745),177 AVENUE FRANKLIN ROOSEVELT,false,Décines-Charpieu,69275
tcl_sytral.tclarret.37176,37176,Roosevelt - Vaucanson,"ZI3A:A,ZI3A:R",false,false,false,15432,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.93530928645894 45.754483054351276),135 AVENUE FRANKLIN ROOSEVELT,false,Décines-Charpieu,69275
tcl_sytral.tclarret.37177,37177,Z.I. Ouest,"ZI3A:A,ZI3A:R",false,false,false,15433,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.936138227827862 45.7575729922782),101 AVENUE FRANKLIN ROOSEVELT,false,Décines-Charpieu,69275
tcl_sytral.tclarret.37179,37179,Bruyeres,ZI3A:A,false,false,false,15434,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.940753715354634 45.76275642518478),2 AVENUE DES BRUYERES,false,Décines-Charpieu,69275
tcl_sytral.tclarret.37194,37194,Bachut - Mairie du 8ème,C15A:R,true,false,false,15435,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.870887386341165 45.735542303578946),3 AVENUE GENERAL FRERE,true,Lyon 8e Arrondissement,69388
tcl_sytral.tclarret.37195,37195,Bachut - Mairie du 8ème,C15A:A,true,false,false,15436,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.870388620205817 45.735589301332276),1 AVENUE GENERAL FRERE,true,Lyon 8e Arrondissement,69388
tcl_sytral.tclarret.37196,37196,Maryse Bastie,C15A:R,true,false,false,15437,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.874909394938983 45.73466801961368),35 AVENUE JEAN MERMOZ,false,Lyon 8e Arrondissement,69388
tcl_sytral.tclarret.37198,37198,Le Capot,26A:A,true,false,false,15438,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.986033104480498 45.70707342025137),3 RUE DE SAVOIE,true,Saint-Priest,69290
tcl_sytral.tclarret.764,764,Duchere Balmont,"21A:A,61B:A,66B:A,89D:A,C14A:A",true,false,false,12818,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.799070054435268 45.78942810131577),334 BOULEVARD DE BALMONT,false,Lyon 9e Arrondissement,69389
tcl_sytral.tclarret.1155,1155,Henri Gorjus,"2A:A,C18A:R",true,false,false,12988,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.823776048345358 45.77960345890098),74 RUE HENON,false,Lyon 4e Arrondissement,69384
tcl_sytral.tclarret.1158,1158,Henriette,"45B:A,65B:R",true,false,false,12991,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.786284252997281 45.74895846951838),20 RUE GEORGES MARTIN WITKOWSKI,false,Lyon 5e Arrondissement,69385
tcl_sytral.tclarret.1160,1160,Herbepin,26A:R,true,false,false,12992,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.967061987051009 45.71396643218881),190 ROUTE DE GRENOBLE,false,Saint-Priest,69290
