id,nom,longitude,latitude
1,24 Aout,4.909327661397975,45.6828643108669
1,24 Aout,4.909327661397975,45.6828643108669
17,A. Pare-Seignemartin,4.882851418377526,45.73617124571958
17,A. Pare-Seignemartin,4.882851418377526,45.73617124571958
18,Corbas Gabriel Peri,4.916826240889187,45.67543681969096
19,Corbas Gabriel Peri,4.917770397933648,45.6758561543442
24,Agronomie,4.785719058844167,45.77480224317896
24,Agronomie,4.785719058844167,45.77480224317896
24,Agronomie,4.785719058844167,45.77480224317896
24,Agronomie,4.785719058844167,45.77480224317896
117,Baraillon,4.759943364126277,45.76411327180364
117,Baraillon,4.759943364126277,45.76411327180364
117,Baraillon,4.759943364126277,45.76411327180364
117,Baraillon,4.759943364126277,45.76411327180364
118,Barbesi,4.864552457270732,45.668154586069406
30823,Le Four,4.877063376927706,45.85626369154982
45803,Yves Chauvin,4.829637095088418,45.648390167908836
34455,Timbaud - Charbonnier,4.905979461571831,45.69341055354648
34456,Henaff - Charbonnier,4.907819254239944,45.69099119495355
34458,Dauphine - Charbonnier,4.910457713549322,45.68506172644251
45839,St Fons Mairie,4.852895527422981,45.70918657096804
46074,Petetin,4.774303231094656,45.594309804853815
46075,Petetin,4.774439192589405,45.59432277487995
46076,St Genis 2,4.78858357969925,45.68149080069038
46088,Gare Part-Dieu V.Merle,4.857905226889039,45.76083214722941
46088,Gare Part-Dieu V.Merle,4.857905226889039,45.76083214722941
46091,Campus Lyon Ouest,4.766285985058389,45.78240329083092
183,Benoit Bernard,4.852192942250558,45.738248963474604
183,Benoit Bernard,4.852192942250558,45.738248963474604
196,Bernard Vallot,4.893836397636807,45.73343627913065
239,Bournes,4.820649808937346,45.77703531704033
239,Bournes,4.820649808937346,45.77703531704033
35996,Combo,4.943468004484614,45.658817495403746
36146,Auvergne,5.017751028113518,45.761238082046184
36147,Marseille - Perigord,5.020905988486882,45.76157607705786
36150,Meyzieu Av de Crottay,5.024868884729566,45.76040005932669
36150,Meyzieu Av de Crottay,5.024868884729566,45.76040005932669
36247,Givors Leclerc,4.771045264738402,45.58863673204355
36247,Givors Leclerc,4.771045264738402,45.58863673204355
36247,Givors Leclerc,4.771045264738402,45.58863673204355
36247,Givors Leclerc,4.771045264738402,45.58863673204355
36247,Givors Leclerc,4.771045264738402,45.58863673204355
240,Bournes,4.82073651582359,45.77696138991151
240,Bournes,4.82073651582359,45.77696138991151
285,Bruyeres,4.941277381505704,45.762951314630534
460,Chateau Roy,4.853470586347206,45.828881057899785
467,Chemin de Grange Blanche,4.901834345134705,45.66370104555582
473,Chemin des Moulins,4.811825601812575,45.69680735842055
473,Chemin des Moulins,4.811825601812575,45.69680735842055
484,Caluire Chemin Petit,4.860388830869238,45.804008251214476
484,Caluire Chemin Petit,4.860388830869238,45.804008251214476
493,Chorel,4.864973439026838,45.77468691992498
493,Chorel,4.864973439026838,45.77468691992498
497,Cimetiere Communautaire,4.917751334290218,45.72362935573221
497,Cimetiere Communautaire,4.917751334290218,45.72362935573221
497,Cimetiere Communautaire,4.917751334290218,45.72362935573221
497,Cimetiere Communautaire,4.917751334290218,45.72362935573221
587,Condorcet,4.866331120486944,45.779031962657854
587,Condorcet,4.866331120486944,45.779031962657854
587,Condorcet,4.866331120486944,45.779031962657854
36248,Givors Carnot,4.771503799702499,45.58541165085459
36248,Givors Carnot,4.771503799702499,45.58541165085459
36248,Givors Carnot,4.771503799702499,45.58541165085459
36249,Givors Salengro,4.771550700483036,45.58415051125431
36249,Givors Salengro,4.771550700483036,45.58415051125431
36249,Givors Salengro,4.771550700483036,45.58415051125431
36250,Givors Hotel de Ville,4.772618187538523,45.58236968035237
36250,Givors Hotel de Ville,4.772618187538523,45.58236968035237
36250,Givors Hotel de Ville,4.772618187538523,45.58236968035237
46092,Campus Lyon Ouest,4.7660524174396395,45.783342283146865
46093,Campus Lyon Ouest,4.76605216115747,45.7830452570238
46093,Campus Lyon Ouest,4.76605216115747,45.7830452570238
29,Alai - La Raude,4.775045246113877,45.753462182196365
29,Alai - La Raude,4.775045246113877,45.753462182196365
29,Alai - La Raude,4.775045246113877,45.753462182196365
29,Alai - La Raude,4.775045246113877,45.753462182196365
30,Alai - La Raude,4.774525047139467,45.75332946623742
30,Alai - La Raude,4.774525047139467,45.75332946623742
30,Alai - La Raude,4.774525047139467,45.75332946623742
30,Alai - La Raude,4.774525047139467,45.75332946623742
33,Albigny Centre,4.834511378618755,45.86530011941403
36265,Gare de Grigny Le Sablon,4.793885317601913,45.60794971363074
36265,Gare de Grigny Le Sablon,4.793885317601913,45.60794971363074
36266,Gare de Grigny Le Sablon,4.794459375462384,45.60830767762304
36266,Gare de Grigny Le Sablon,4.794459375462384,45.60830767762304
36314,La Jument Noire,4.757540830116536,45.5841664753338
36314,La Jument Noire,4.757540830116536,45.5841664753338
36329,Bertholon,4.7731543879418,45.576923923812615
36461,Le Boutras,4.7717035162998,45.605158759001455
37036,Sept Chemins,4.933052736851704,45.744013579352604
37036,Sept Chemins,4.933052736851704,45.744013579352604
37036,Sept Chemins,4.933052736851704,45.744013579352604
46317,Genas Rd Point Epine(D),4.983468148184279,45.734763189853034
46327,Calmette - Muriers,4.986392116124336,45.71725636947092
46327,Calmette - Muriers,4.986392116124336,45.71725636947092
37054,Rocade des Monts d'Or,4.810549655194514,45.820103874550895
37054,Rocade des Monts d'Or,4.810549655194514,45.820103874550895
50083,Bois des Chenes,4.78186850748791,45.68186385101819
50083,Bois des Chenes,4.78186850748791,45.68186385101819
50084,Brignais Tards Venus,4.775216472926689,45.67959281415088
